LotArea,OverallQual,OverallCond,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,Heating,HeatingQC,CentralAir,Bedrooms,Kitchens,KitchenQual,TotalRooms,Functional,GarageCars,PavedDrive,Fence,MiscFeature,MiscVal,SalePrice
10628,7,5,TA,Gd,CBlock,TA,Gd,GasA,TA,True,2,1,TA,5,Typ,2,Y,GdWo,,0,167000
26142,5,7,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,1,P,,,0,157900
7750,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,184100
6120,5,7,TA,TA,BrkTil,TA,TA,GasA,TA,True,2,1,TA,5,Typ,1,Y,,,0,105000
11146,8,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Gd,7,Typ,3,Y,,,0,255500
9120,6,6,TA,TA,CBlock,TA,TA,GasA,Ex,True,3,1,TA,6,Typ,2,Y,,Shed,1400,163000
53107,6,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,9,Typ,2,Y,,,0,240000
9750,5,5,TA,TA,PConc,TA,TA,GasA,Gd,True,3,1,TA,6,Typ,1,Y,,,0,135500
10480,7,6,TA,TA,CBlock,TA,TA,GasA,TA,True,4,1,TA,8,Typ,2,Y,,,0,205000
1869,6,6,TA,TA,CBlock,TA,TA,GasA,TA,True,2,1,TA,5,Typ,1,Y,,,0,106000
7180,5,7,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,5,Typ,1,Y,,,0,127000
7136,6,6,TA,TA,CBlock,Gd,TA,GasA,TA,False,4,2,TA,8,Typ,2,Y,,,0,145000
11194,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,230500
11475,6,6,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,MnPrv,,0,179900
10634,5,6,TA,TA,PConc,TA,TA,GasA,TA,True,3,1,TA,5,Min2,1,Y,GdWo,,0,123000
11050,9,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Ex,8,Typ,3,Y,,,0,313000
10237,6,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,8,Typ,2,Y,,,0,178900
13173,9,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,2,1,Ex,6,Typ,2,Y,,,0,325000
8402,5,5,TA,TA,PConc,Gd,TA,GasA,Ex,True,3,1,TA,6,Typ,0,Y,,,0,147000
2500,7,8,Gd,TA,PConc,TA,TA,GasA,Ex,True,4,1,Ex,7,Min2,1,Y,,,0,155000
11700,7,7,Gd,TA,Stone,TA,Fa,GasW,TA,False,4,1,Gd,8,Typ,4,N,,,0,265979
15256,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,3,Y,,,0,282922
1526,4,8,TA,Gd,CBlock,Gd,TA,GasA,TA,True,1,1,Gd,3,Typ,1,Y,,,0,86000
11170,7,5,TA,TA,Wood,Gd,TA,GasA,Ex,True,4,1,TA,8,Typ,2,Y,GdPrv,,0,250000
53227,4,6,TA,TA,CBlock,Gd,TA,GasA,Ex,True,2,1,Gd,6,Min1,2,Y,,,0,256000
10011,5,6,TA,TA,CBlock,TA,TA,GasA,TA,True,2,1,Gd,6,Min1,1,Y,MnPrv,,0,134450
4400,6,8,TA,TA,BrkTil,Fa,TA,GasA,TA,True,2,1,TA,6,Typ,2,Y,,,0,116000
9236,6,5,TA,Gd,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,217000
15602,7,8,TA,TA,CBlock,TA,TA,GasA,TA,True,1,1,TA,6,Typ,2,Y,GdWo,,0,289000
1936,4,6,TA,TA,CBlock,Gd,TA,GasA,Gd,True,1,1,TA,3,Typ,0,Y,MnPrv,,0,84500
8068,6,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,4,1,Gd,8,Typ,2,Y,,,0,200000
5900,4,7,TA,TA,PConc,Gd,TA,GasA,TA,True,2,1,Fa,4,Typ,0,Y,,,0,85500
9125,7,5,TA,TA,PConc,Gd,TA,GasA,Gd,True,3,1,Gd,7,Typ,2,Y,,,0,163900
11900,7,5,TA,Gd,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,,,0,82500
8500,5,7,TA,TA,CBlock,TA,TA,GasW,TA,False,3,1,Fa,7,Typ,0,N,,,0,115000
9650,6,5,TA,TA,CBlock,Gd,TA,GasA,TA,True,2,1,TA,6,Typ,2,Y,,,0,167900
6435,6,5,TA,TA,BrkTil,TA,TA,GasA,Gd,True,3,1,Fa,6,Typ,1,Y,,,0,140200
8125,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,186500
9100,5,6,TA,TA,BrkTil,TA,TA,GasA,TA,True,2,1,TA,4,Typ,1,P,,Shed,600,79500
8470,3,2,Fa,Fa,CBlock,TA,Fa,GasA,TA,False,2,1,Fa,6,Typ,0,N,MnPrv,,0,85000
13695,5,5,TA,TA,PConc,TA,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,159000
13006,7,5,TA,TA,PConc,Gd,TA,GasA,Gd,True,4,1,Gd,8,Typ,2,Y,,,0,222000
7700,6,5,TA,TA,CBlock,TA,TA,GasA,TA,True,4,1,TA,7,Typ,2,Y,,,0,155000
9550,7,5,TA,TA,BrkTil,TA,Gd,GasA,Gd,True,3,1,Gd,7,Typ,3,Y,,,0,140000
7800,5,6,TA,TA,PConc,TA,TA,GasA,Gd,True,2,1,TA,7,Typ,1,Y,,,0,132000
8640,7,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,250580
8385,5,8,Gd,TA,CBlock,Gd,Gd,GasA,TA,True,3,1,TA,6,Typ,1,Y,,,0,149900
8263,6,5,TA,TA,BrkTil,TA,TA,GasA,TA,True,2,1,TA,6,Typ,1,Y,MnPrv,,0,118400
7763,5,7,TA,Gd,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,,,0,140000
9600,7,7,TA,TA,BrkTil,TA,Gd,GasA,Ex,True,3,1,Ex,6,Typ,2,Y,,,0,178000
8450,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,185000
8400,6,5,TA,TA,CBlock,TA,TA,GasA,Gd,True,3,1,TA,6,Typ,1,Y,,,0,129000
11029,6,7,TA,TA,CBlock,TA,TA,GasA,TA,True,4,1,Gd,9,Typ,2,Y,,,0,250000
12108,4,4,TA,TA,CBlock,TA,TA,GasA,TA,False,4,2,Fa,8,Typ,0,Y,,,0,118000
7500,5,5,TA,TA,CBlock,TA,TA,GasA,Fa,True,3,1,TA,5,Typ,1,Y,MnPrv,,0,133000
8532,5,6,TA,TA,CBlock,TA,TA,GasA,Gd,True,3,1,TA,5,Typ,2,Y,,,0,153000
11317,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,8,Typ,2,Y,,,0,180000
20544,7,6,TA,Gd,CBlock,Gd,TA,GasA,Gd,True,3,1,TA,7,Typ,2,Y,MnPrv,,0,215000
4224,5,5,TA,TA,PConc,Gd,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,MnPrv,,0,134000
14601,9,5,Ex,TA,PConc,Ex,TA,GasA,Ex,True,2,1,Ex,8,Typ,3,Y,,,0,315000
1680,5,7,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,1,Y,,,0,119500
8773,6,5,TA,TA,PConc,Gd,TA,GasA,Gd,True,3,1,TA,7,Typ,2,Y,,,0,169000
14684,7,7,Gd,TA,CBlock,Gd,TA,GasA,Gd,True,3,1,Gd,7,Typ,3,Y,,,0,271900
10402,7,5,TA,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,3,Y,,,0,198900
8012,6,5,TA,TA,CBlock,Gd,TA,GasA,TA,True,2,1,TA,5,Typ,1,Y,,,0,143000
4426,6,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,1,1,Gd,3,Typ,2,Y,,,0,141000
8529,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,189000
12144,5,7,Gd,TA,CBlock,TA,TA,GasA,Gd,True,3,1,TA,6,Typ,1,Y,,Othr,0,133000
15623,10,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,4,1,Ex,10,Typ,3,Y,MnPrv,,0,745000
14000,7,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,328000
7500,5,7,TA,TA,CBlock,TA,TA,GasA,Ex,True,3,1,Gd,6,Typ,1,Y,GdPrv,,0,154000
9020,6,5,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,GdPrv,,0,168500
5700,7,7,TA,TA,PConc,TA,TA,GasA,TA,True,2,1,TA,5,Typ,1,Y,,,0,116900
14115,6,7,TA,TA,PConc,TA,TA,GasA,Ex,True,2,1,Ex,6,Typ,2,Y,,,0,230000
8198,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,2,1,Gd,6,Typ,2,Y,,,0,207000
21453,6,5,TA,TA,CBlock,TA,TA,GasA,Ex,True,1,1,TA,4,Typ,2,Y,,,0,180000
11957,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,3,Y,,,0,232000
15431,10,5,Ex,TA,PConc,Ex,TA,GasA,Ex,True,2,1,Ex,10,Typ,3,Y,,,0,555000
8000,6,6,TA,Gd,CBlock,TA,TA,GasA,Ex,True,2,1,TA,5,Typ,1,Y,,,0,132000
23257,7,5,Gd,TA,PConc,Ex,Gd,GasA,Ex,True,3,1,Gd,9,Typ,2,Y,,,0,274725
7200,5,5,TA,TA,CBlock,TA,TA,GasA,TA,True,2,1,TA,6,Typ,2,Y,,,0,123000
7758,5,7,TA,Gd,CBlock,TA,TA,GasA,Gd,True,3,1,Gd,6,Typ,1,Y,,,0,132500
8049,7,5,TA,TA,CBlock,Gd,TA,GasA,TA,True,2,1,TA,6,Typ,2,Y,,,0,180000
8635,5,5,TA,TA,CBlock,TA,TA,GasA,TA,True,2,1,TA,6,Min1,1,Y,MnPrv,,0,127000
14450,9,5,Ex,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Ex,8,Typ,3,Y,,,0,415298
11040,6,7,Gd,Gd,CBlock,TA,TA,GasA,Ex,True,3,1,Gd,5,Typ,2,Y,,,0,145000
10261,6,5,TA,TA,PConc,Gd,TA,GasA,Ex,True,3,1,TA,8,Typ,2,Y,,,0,186500
10482,6,8,TA,Gd,CBlock,TA,TA,GasA,Ex,True,3,1,TA,6,Typ,1,Y,MnWw,,0,145000
7585,5,3,TA,TA,CBlock,Fa,Fa,GasA,Fa,True,4,1,TA,7,Typ,1,P,,,0,91500
18890,5,5,TA,TA,CBlock,Gd,TA,GasA,Ex,True,4,2,TA,12,Typ,2,N,,Gar2,8300,190000
8125,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,2,1,Gd,7,Typ,2,Y,,,0,241000
9000,5,5,TA,TA,CBlock,TA,TA,GasA,TA,True,2,1,TA,5,Min1,1,Y,GdWo,,0,118000
7153,6,5,Gd,Gd,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,175900
6000,5,5,TA,TA,CBlock,TA,TA,GasA,Ex,True,2,1,TA,5,Typ,1,Y,,,0,115000
4280,5,6,TA,TA,PConc,TA,TA,GasA,TA,False,2,1,Gd,4,Typ,1,P,MnPrv,,0,90350
17920,5,4,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,,,0,170000
12772,6,8,TA,Gd,CBlock,TA,TA,GasA,TA,True,2,1,TA,5,Typ,1,Y,,Gar2,15500,151500
4426,6,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,1,1,Gd,3,Typ,2,Y,,,0,143000
10335,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,204000
10530,6,5,TA,TA,CBlock,Gd,TA,GasA,TA,True,2,1,TA,4,Typ,2,Y,,,0,135000
8405,4,3,TA,TA,Slab,,,Wall,TA,False,4,1,TA,9,Mod,1,N,,,0,98000
1950,6,6,TA,Gd,CBlock,Gd,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,GdPrv,,0,151000
7018,5,5,TA,TA,CBlock,Gd,TA,GasA,TA,True,2,2,TA,6,Typ,2,Y,,,0,153337
6120,7,5,TA,TA,BrkTil,TA,TA,GasA,Gd,True,2,2,TA,8,Min1,2,Y,,,0,129900
9000,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,8,Typ,3,Y,,,0,270000
9825,5,5,TA,TA,CBlock,,,GasA,TA,False,4,2,TA,8,Typ,0,Y,,,0,100000
14260,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,4,1,Gd,9,Typ,3,Y,,,0,250000
11838,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Ex,7,Typ,2,Y,,,0,236500
10552,5,5,TA,TA,CBlock,TA,TA,GasA,Gd,True,4,1,Gd,6,Typ,2,Y,,,0,165500
11888,6,6,TA,TA,BrkTil,TA,TA,GasA,Gd,False,5,1,Gd,10,Typ,2,Y,,,0,214500
1596,4,5,TA,TA,CBlock,Gd,TA,GasA,TA,True,2,1,TA,5,Typ,1,Y,GdWo,,0,91000
31770,6,5,TA,TA,CBlock,TA,Gd,GasA,Fa,True,3,1,TA,7,Typ,2,P,,,0,215000
9549,8,5,Gd,Gd,PConc,Gd,Gd,GasA,Ex,True,2,1,Ex,6,Typ,2,Y,,,0,270000
8499,6,5,TA,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,156932
11103,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,8,Typ,2,Y,,,0,155835
8544,3,4,TA,TA,Slab,,,Wall,Fa,False,2,2,TA,6,Typ,2,Y,,,0,87500
14145,7,7,Gd,TA,CBlock,Gd,TA,GasA,Ex,True,3,1,Gd,8,Typ,2,Y,,Shed,400,202500
12508,6,7,TA,TA,CBlock,Gd,TA,GasA,Ex,True,4,1,TA,7,Mod,1,Y,,Shed,1300,160000
12665,5,8,TA,TA,BrkTil,TA,TA,GasA,Gd,True,4,1,TA,7,Typ,3,Y,,,0,153900
6120,2,3,Fa,Fa,BrkTil,TA,Fa,Grav,Fa,False,1,1,Fa,4,Maj1,0,N,,,0,60000
9600,5,8,TA,TA,PConc,TA,TA,GasA,Gd,True,3,1,Gd,6,Typ,1,P,GdWo,,0,125000
10800,4,7,TA,TA,BrkTil,Fa,TA,GasA,Gd,True,2,1,TA,6,Typ,1,N,,Shed,450,100000
17671,8,9,Gd,Gd,BrkTil,TA,TA,GasA,Gd,True,4,1,Gd,8,Typ,2,P,,,0,168000
10896,6,7,Fa,TA,CBlock,TA,Fa,GasA,Ex,True,8,2,Fa,14,Typ,0,N,,,0,200000
14781,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,3,Y,,,0,275000
7420,5,6,TA,TA,BrkTil,TA,TA,GasA,Ex,True,2,2,TA,5,Typ,1,Y,,,0,118000
16635,6,7,Gd,TA,CBlock,Gd,TA,GasA,Gd,True,3,1,Gd,8,Typ,2,Y,,,0,215000
13568,5,5,TA,TA,PConc,Gd,TA,GasA,Ex,True,3,1,TA,5,Typ,2,Y,,,0,156000
12328,6,5,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,3,Y,,,0,169900
12420,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,230000
6882,6,7,TA,TA,PConc,TA,TA,GasA,TA,True,3,1,Gd,7,Typ,0,Y,,,0,127000
8281,5,5,TA,TA,CBlock,TA,TA,GasA,Gd,True,3,1,TA,5,Typ,1,Y,GdWo,,0,62383
7685,6,5,TA,TA,PConc,Gd,TA,GasA,Gd,True,3,1,Gd,6,Typ,2,Y,,,0,165600
8400,6,6,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,TA,7,Typ,2,Y,MnPrv,,0,171000
12925,6,7,TA,TA,CBlock,TA,TA,GasA,Ex,True,4,1,TA,7,Typ,2,Y,,,0,237500
15611,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,8,Typ,2,Y,,,0,233230
13891,8,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,2,1,Gd,6,Typ,3,Y,,,0,372402
7800,5,7,TA,TA,PConc,TA,TA,GasA,Ex,True,3,1,Gd,5,Typ,1,Y,MnPrv,,0,130000
10625,7,6,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,Gd,6,Typ,2,Y,MnPrv,,0,170000
10140,7,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Gd,7,Maj1,2,Y,,,0,213250
6931,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,165400
7313,9,5,Ex,TA,PConc,Ex,TA,GasA,Ex,True,2,1,Ex,6,Typ,2,Y,,,0,277500
9303,6,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,TA,7,Typ,2,Y,,,0,204000
8738,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,4,1,Gd,8,Typ,2,Y,,,0,230000
12384,7,7,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,TA,7,Typ,2,Y,,,0,197900
5814,8,5,Gd,TA,CBlock,Gd,TA,GasA,Gd,True,1,1,Gd,4,Typ,2,Y,,,0,187500
6762,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,2,1,Gd,6,Typ,2,Y,,,0,206000
7200,6,6,TA,TA,BrkTil,TA,Fa,GasW,Ex,False,4,2,TA,9,Typ,2,Y,,,0,133900
7681,5,6,TA,TA,BrkTil,TA,TA,GasA,Ex,True,3,1,TA,7,Typ,1,Y,,,0,154900
6000,5,8,TA,TA,BrkTil,TA,TA,GasA,Ex,True,3,1,TA,5,Typ,1,N,,,0,117000
3182,7,5,Gd,TA,PConc,Gd,Gd,GasA,Ex,True,2,1,Gd,7,Typ,2,Y,,,0,191000
6600,5,4,TA,TA,Stone,TA,TA,GasA,TA,False,4,2,TA,11,Min2,1,Y,,,0,107500
10171,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,214000
6342,5,8,TA,Gd,CBlock,TA,TA,GasA,Gd,False,2,1,TA,6,Typ,0,N,,,0,94000
6240,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,2,1,Gd,6,Typ,2,Y,,,0,254000
12400,6,7,TA,TA,CBlock,TA,Fa,GasA,TA,True,3,1,TA,6,Typ,1,Y,,,0,155000
3500,5,7,TA,TA,CBlock,TA,TA,GasA,TA,True,2,1,TA,5,Typ,1,Y,MnWw,,0,110000
5664,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,2,1,Ex,5,Typ,2,Y,,,0,278000
4060,5,8,TA,TA,PConc,Fa,TA,GasA,Ex,True,2,1,TA,4,Typ,0,Y,,,0,99900
9717,5,6,TA,TA,CBlock,TA,TA,GasA,Gd,True,2,1,Gd,5,Typ,1,Y,,,0,142125
10206,8,5,TA,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,3,Y,,,0,245000
5306,7,7,Gd,Gd,PConc,Gd,Gd,GasA,Gd,True,2,1,Gd,5,Typ,2,Y,,,0,239000
2308,6,6,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,Gd,7,Typ,2,Y,,,0,155000
5820,3,8,TA,Gd,CBlock,TA,TA,GasA,Ex,True,3,1,TA,6,Typ,1,Y,,,0,126175
11096,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,3,Y,,,0,249700
9150,6,5,TA,TA,CBlock,Gd,TA,GasA,Gd,True,3,1,TA,6,Typ,1,Y,,,0,165000
10452,6,5,TA,TA,CBlock,TA,TA,GasA,Ex,True,3,1,TA,5,Typ,2,Y,,,0,155000
6402,5,5,TA,TA,PConc,TA,TA,GasA,TA,False,3,1,TA,6,Typ,1,N,GdWo,,0,78000
9000,6,3,TA,TA,BrkTil,Fa,Fa,GasA,TA,False,2,1,TA,5,Typ,2,N,,,0,76000
3363,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Maj1,2,Y,,,0,130000
10400,7,5,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,MnPrv,,0,152000
9313,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,190000
10083,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,2,1,Gd,5,Typ,2,Y,,,0,184900
8834,9,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,4,1,Ex,10,Typ,3,Y,,,0,350000
5000,5,4,TA,TA,BrkTil,TA,TA,GasA,Gd,False,3,1,TA,6,Typ,1,Y,,,0,79000
8000,6,5,TA,TA,PConc,Gd,TA,GasA,Gd,True,3,1,TA,8,Typ,2,Y,,,0,188000
9842,5,6,TA,TA,BrkTil,TA,Fa,GasA,Ex,True,4,1,TA,8,Typ,2,Y,,,0,189000
10140,5,6,TA,TA,CBlock,Gd,TA,GasA,Ex,True,3,1,TA,6,Typ,2,Y,MnPrv,,0,153500
8773,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,185500
11932,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,3,Y,,,0,235128
9020,6,7,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,GdPrv,,0,174900
9056,8,5,Gd,TA,PConc,Ex,Gd,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,178000
4500,6,5,TA,Gd,PConc,Ex,Gd,GasA,Ex,True,2,1,TA,5,Typ,2,Y,,,0,153500
12968,5,6,TA,TA,CBlock,TA,TA,GasA,TA,True,2,1,TA,4,Typ,1,Y,,,0,144000
9991,4,4,TA,TA,CBlock,TA,TA,GasA,Ex,True,3,1,TA,8,Min1,2,Y,GdWo,,0,150000
9738,5,7,TA,Gd,BrkTil,TA,TA,GasA,Gd,True,4,1,TA,7,Typ,1,Y,,,0,104900
